feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__D168,healthy,2.77452147,0.4646592,0.4646592
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__un_g__Parabacteroides,healthy,2.75645824,0.3812,0.3812
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__finegoldii,healthy,2.75621294,0.0003989062,0.0003989062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae|s__lavalense,healthy,2.75451996,0.0002391643,0.0002391643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium,healthy,2.75241725,0.4445982,0.4445982
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium|s__un_g__Lachnobacterium,healthy,2.75241725,0.4445982,0.4445982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__putredinis,healthy,2.75170152,0.2042674,0.2042674
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__[Eubacterium]|s__cylindroides,healthy,2.75159875,0.490474,0.490474
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta,healthy,2.74680113,0.4207516,0.4207516
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__un_o__Streptophyta,healthy,2.74680113,0.4207516,0.4207516
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__un_o__Streptophyta|g__un_o__Streptophyta,healthy,2.74680113,0.4207516,0.4207516
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__un_o__Streptophyta|g__un_o__Streptophyta|s__un_o__Streptophyta,healthy,2.74680113,0.4207516,0.4207516
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Synergistes|s__un_g__Synergistes,healthy,2.7464994,0.9293049,0.9293049
k__Bacteria|p__Cyanobacteria|c__Chloroplast,healthy,2.74522875,0.3924283,0.3924283
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Synergistes,healthy,2.73577292,0.9293049,0.9293049
