,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
amet[e],-0.016693790016459327,-0.0958149016206572,0.06242732158773855,0.6792158114580578,-0.10769897983766372,0.07431139980474505,0.019151019099287656,4.991697018142118e-06,0.906136096453144,1.0493608182228182
strch1[e],-0.02128447641290703,-0.09916969448029345,0.056600741654479376,0.5922218540212074,-0.11401734402805416,0.07144839120224009,0.02390396820787332,4.21113896617048e-06,0.906136096453144,1.0297016685281963
spmd[e],0.008168837770143036,-0.07743431380820999,0.09377198934849605,0.8516346348602891,-0.08351967621798574,0.0998573517582718,0.009348704389291472,4.8243432614130495e-06,0.906136096453144,1.0416890324407513
gthrd[e],-0.006978815988558245,-0.09469010257038657,0.08073247059327007,0.8760755528697023,-0.09776974902420511,0.08381211704708862,0.008071219714081493,4.811236628155418e-06,0.906136096453144,1.0519992782340013
mg2[e],-0.0034206610757599835,-0.08743286247886235,0.08059154032734238,0.9363944418982143,-0.09499758632787271,0.08815626417635274,0.003927980113098246,5.076581664321677e-06,0.906136096453144,1.042996262874162
zn2[e],0.0002474968107122952,-0.0841510736251675,0.08464606724659207,0.9954141454313453,-0.09118912727537631,0.09168412089680089,0.0002838785425431695,4.768630071306045e-06,0.906136096453144,1.0446047000290084
pheme[e],-0.004243268739216589,-0.08715991027692387,0.0786733727984907,0.9201050587359093,-0.09593519998992521,0.08744866251149204,0.004867854821314831,4.982049777757779e-06,0.906136096453144,1.041683749717662
ribflv[e],-0.0223730479639664,-0.10864765950714457,0.06390156357921177,0.6112674891963708,-0.11423687475528149,0.06949077882734869,0.02534537836795654,5.980732149997872e-06,0.906136096453144,1.0394044685132895
thm[e],-0.001998087831422782,-0.08561752357508562,0.08162134791224004,0.962646030748811,-0.09368483031668502,0.08968865465383945,0.00229297945972827,5.008770089457052e-06,0.906136096453144,1.0417523468062908
asp_L[e],-0.008145198189729818,-0.091216840632585,0.07492644425312536,0.8476051071527732,-0.09843091374842576,0.08214051736896612,0.009465900248646133,4.863398641668846e-06,0.906136096453144,1.0578729098707855
asn_L[e],-0.0425537746506429,-0.12243214099392895,0.03732459169264314,0.29642254276557223,-0.13319563499445064,0.04808808569316485,0.04827764457254806,4.37310842975138e-06,0.906136096453144,1.0524760891491836
sheme[e],0.02111197735669408,-0.064940616212266,0.10716457092565417,0.6306204213468652,-0.07209015938275254,0.1143141140961407,0.023594618525357332,4.925988157750939e-06,0.906136096453144,1.0245249601134874
