,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
MGlcn196[e],0.1082588661230175,0.041982869752043184,0.1745348624939918,0.00136707801570725,0.019984731500534453,0.19653300074550054,0.12118758769659489,0.05354479802533816,0.906136096453144,1.0730990804738691
MGlcn101[e],0.09607694035147445,0.015205887195135007,0.17694799350781387,0.01988616241784078,0.00691701938850299,0.1852368613144459,0.10731996099509356,0.029461133427225533,0.906136096453144,1.064434128906947
MGlcn109[e],0.10892595553494092,0.03304635146935067,0.18480555960053116,0.004899798686871655,0.01995564551392917,0.19789626555595266,0.12099359164307678,0.045630019843273854,0.906136096453144,1.064732208046902
MGlcn187[e],0.10461056371338427,0.011575029630974398,0.19764609779579415,0.027537484481215638,0.015344644462423757,0.1938764829643448,0.11613514489652628,0.025031685587066966,0.906136096453144,1.0619351275622135
isobut[e],0.0028736406893470298,-0.09727152886142364,0.1030188102401177,0.9551500758962421,-0.0871724338950602,0.09291971527375427,0.00335669072770582,4.808730153429008e-06,0.906136096453144,1.0607302004421975
MGlcn192[e],0.13305270959080298,0.07912513741352178,0.18698028176808418,1.326660458912685e-06,0.045785742353692135,0.2203196768279138,0.1483176932734736,0.0816169403970262,0.906136096453144,1.0806494515848803
MGlcn107_rl[e],0.10557919468624852,0.026465789642212995,0.18469259973028404,0.00890629329254975,0.017132369057299007,0.19402602031519803,0.11816026249683735,0.03959620487150478,0.906136096453144,1.0714671798741353
gncore2_rl[e],0.1157792740967834,0.04355355282666419,0.18800499536690263,0.0016787747116124034,0.027784247436297704,0.2037743007572691,0.12940729653841176,0.05677063137667707,0.906136096453144,1.075169123670095
MGlcn196_rl[e],0.11324857091571745,0.03490976426410755,0.19158737756732735,0.004605949450042292,0.02479203462487929,0.2017051072065556,0.1261520655101617,0.04824585055294071,0.906136096453144,1.0700968669278235
MGlcn82_rl[e],0.13138257097327843,0.08790774782248542,0.17485739412407145,3.159559021938412e-09,0.044037620194485524,0.21872752175207133,0.14648268488045801,0.09233571752169537,0.906136096453144,1.0800475566996084
MGlcn152[e],0.10419108093362407,0.012162259777399848,0.1962199020898483,0.02648760278009789,0.015260091271836446,0.1931220705954117,0.11610693469348465,0.02631227583648998,0.906136096453144,1.0659387070561368
MGlcn174[e],0.12221531364806448,0.06306776428793812,0.18136286300819085,5.1254507910641714e-05,0.034515581401889595,0.20991504589423937,0.13650147923634576,0.07249865551075022,0.906136096453144,1.0775517395481402
MGlcn154[e],0.10602566666420501,0.041823164385459494,0.17022816894295054,0.001209056183990741,0.01758324110817451,0.19446809222023553,0.11863394484088657,0.0551635195790078,0.906136096453144,1.0714488834181863
MGlcn118[e],0.11498739709375556,0.05226358283801685,0.17771121134949427,0.00032680271450497364,0.02697540786821913,0.20299938631929199,0.12855993558338852,0.06357285477290929,0.906136096453144,1.0751040710140345
MGlcn42[e],0.12126405675659824,0.07324996617407722,0.16927814733911925,7.418620240507274e-07,0.03350967395166628,0.2090184395615302,0.13543797800694518,0.08536105554927427,0.906136096453144,1.077071022278104
MGlcn126[e],0.12652622153967352,0.06974766074115994,0.1833047823381871,1.256112333615218e-05,0.039136925009660664,0.2139155180696864,0.1414144619937384,0.07377844985670089,0.906136096453144,1.0804736925013805
lald_L[e],0.044898354283597765,-0.06009847869291932,0.14989518726011486,0.40196752755694853,-0.03653211396269481,0.12632882252989033,0.056455359477214605,5.884488452293457e-06,0.906136096453144,1.1709894507274257
MGlcn163[e],0.13019678130082007,0.08590611240445448,0.17448745019718567,8.336616762515615e-09,0.042580423402183556,0.2178131391994566,0.14484930614909786,0.08660433936508917,0.906136096453144,1.077019489523714
cspg_b_degr[e],0.07118224896160386,0.00723501168556237,0.13512948623764534,0.029130576031588525,-0.018667999339921748,0.16103249726312946,0.08009457579214584,0.017585182627321654,0.906136096453144,1.0593606427684927
MGlcn8[e],0.12032863271658802,0.06713096190657514,0.1735263035266009,9.281331202934425e-06,0.03228175798031252,0.2083755074528635,0.134053899613342,0.07709271049341931,0.906136096453144,1.0737372854845317
MGlcn4_rl[e],0.11409879269891884,0.048295960032180785,0.1799016253656569,0.0006776174247034012,0.026068865494050852,0.20212871990378684,0.1276099251446815,0.05847230460107971,0.906136096453144,1.0750430556957578
idour[e],0.13215947351824886,0.08211564010196343,0.1822033069345343,2.2667097309865587e-07,0.04552735424851044,0.21879159278798727,0.1483948459832112,0.07913901081383362,0.906136096453144,1.0885530446226606
MGlcn95[e],0.13365250194453843,0.1010350612216425,0.16626994266743433,9.659865856623617e-16,0.046097745347419825,0.22120725854165701,0.1484822445328241,0.09996619880461104,0.906136096453144,1.0770646667550827
MGlcn37_rl[e],0.11396462704105526,0.04940711827816888,0.17852213580394163,0.0005402504609395477,0.02660888007109484,0.20132037401101566,0.12838640878657487,0.06183512296836023,0.906136096453144,1.08320976791705
MGlcn15_rl[e],0.0781211219691455,0.003016924263138293,0.1532253196751527,0.041480433013628935,-0.009944098474828314,0.1661863424131193,0.0892366882916194,0.014584236629000387,0.906136096453144,1.079884665153473
MGlcn13_rl[e],0.12596453409089248,0.08496601477869414,0.1669630534030908,1.7246022624161087e-09,0.03745539880154031,0.21447366938024465,0.1391856193811963,0.08079802372612274,0.906136096453144,1.0672136492827538
MGlcn126_rl[e],0.11369863418302506,0.04250865595402312,0.184888612412027,0.001746342183027949,0.024863909135795864,0.20253335923025426,0.12611671395018792,0.056017513751449324,0.906136096453144,1.0655469488514457
MGlcn133[e],0.12775358160091624,0.0843902977224498,0.17111686547938268,7.727567699562063e-09,0.039214571700950746,0.21629259150088173,0.1409686784409313,0.0887708267534411,0.906136096453144,1.066525987391345
MGlcn18[e],0.10706689830866542,0.034390160517000584,0.17974363610033026,0.0038843238185526366,0.019847915718961967,0.19428588089836887,0.12129575327392417,0.04762279964027304,0.906136096453144,1.0860641058288032
MGlcn99[e],0.10779644631581076,0.02069552346145931,0.1948973691701622,0.0152806132654495,0.019679289921768178,0.19591360270985334,0.12090440116301773,0.03475620144239878,0.906136096453144,1.075054855369821
MGlcn47_rl[e],0.09308535480543136,0.024423948222218078,0.16174676138864463,0.007880339585431995,0.0041199450664416715,0.18205076454442104,0.10437748930587924,0.035669251647677994,0.906136096453144,1.0671501782598267
MGlcn121[e],0.1229256766128121,0.054140981146900524,0.19171037207872368,0.000460624529357411,0.034662731276362393,0.2111886219492618,0.13642484070142827,0.05654867615491379,0.906136096453144,1.0706894894980623
MGlcn26[e],0.10861801944844827,0.027033869842627664,0.1902021690542689,0.009069554271737763,0.020171588112375044,0.1970644507845215,0.12134209699142696,0.03966074378834542,0.906136096453144,1.070984635617218
MGlcn158_rl[e],0.11227587602518872,0.05492145706662524,0.1696302949837522,0.00012465463798278087,0.024590249329165245,0.19996150272121221,0.1261670539600539,0.06638679812193052,0.906136096453144,1.079502428481134
MGlcn47[e],0.12532545970437084,0.08534161910765294,0.16530930030108876,8.081602757329415e-10,0.03790017695479997,0.2127507424539417,0.14012016496417778,0.08450491465026531,0.906136096453144,1.080271145139192
MGlcn70[e],0.10741070503381983,0.05103524994063519,0.16378616012700448,0.0001882612052447361,0.019824262045106317,0.19499714802253335,0.12118254264031304,0.059965992422175554,0.906136096453144,1.0815253907991615
MGlcn183_rl[e],0.12966109622275443,0.07646450623129064,0.18285768621421822,1.7774749140978804e-06,0.04201069168806745,0.2173115007574414,0.14424797450433477,0.08031168298455282,0.906136096453144,1.0767169444380165
MGlcn134[e],0.09417195980790842,0.028395478232360175,0.15994844138345665,0.005014923361612481,0.007431030190425042,0.1809128894253918,0.10807953330789187,0.04430736060382395,0.906136096453144,1.0940135827257942
MGlcn71[e],0.1289941808416063,0.07327605641759669,0.1847123052656159,5.6910701151052215e-06,0.041319644186379914,0.2166687174968327,0.14352693937992617,0.07838341049448361,0.906136096453144,1.0765586553611992
acgalidour[e],0.13733274515727234,0.10274676807883662,0.17191872223570806,7.10748472972033e-15,0.05073383011603638,0.2239316601985083,0.1537748386509468,0.09660303752461312,0.906136096453144,1.0878652475929258
MGlcn94_rl[e],0.10417182921917476,0.04611863511255865,0.16222502332579086,0.0004364552037743689,0.015467365620368614,0.1928762928179809,0.11636493144230661,0.05040194122267659,0.906136096453144,1.0686227464210794
MGlcn68_rl[e],0.1136327776117842,0.0607994047462025,0.1664661504773659,2.4928668424606236e-05,0.02762984999418204,0.19963570522938634,0.12991236548043436,0.07222374831113589,0.906136096453144,1.0999861839112637
MGlcn23[e],0.11796964816512975,0.06088188677083854,0.17505740955942095,5.1176135450863375e-05,0.030103364981004035,0.20583593134925549,0.13186243426147481,0.07423948569778455,0.906136096453144,1.0763257171179699
MGlcn68[e],0.1027180852749794,0.027408201162862536,0.17802796938709625,0.007511548685781718,0.016076201598296702,0.1893599689516621,0.11740343204903846,0.04045174843306543,0.906136096453144,1.093904290392046
